AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,TimeDiff(ms),Acc_Magnitude,Gyr_Magnitude,Acc_L2Norm,Gyr_L2Norm,Acc_Mean,Gyr_Mean,Acc_Variance,Gyr_Variance,Acc_StdDev,Gyr_StdDev
0.38,0.69,8.51,0.05,0.1,0.09,1721198959146,527000.0,8.5463793503448,0.1435270009440732,8.5463793503448,0.1435270009440732,3.1933333333333334,0.08,21.22423333333333,0.0007,4.606976593530005,0.0264575131106459
0.28,1.08,10.45,0.03,0.08,0.03,1721198959151,5000.0,10.509391038495046,0.0905538513813741,10.509391038495046,0.0905538513813741,3.936666666666666,0.0466666666666666,31.977633333333333,0.0008333333333333,5.654876951210639,0.0288675134594812
0.69,1.64,10.78,0.09,0.08,0.0,1721198959160,9000.0,10.925845505039872,0.1204159457879229,10.925845505039872,0.1204159457879229,4.37,0.0566666666666666,31.0417,0.0024333333333333,5.5715078748934745,0.0493288286231624
0.03,2.82,9.81,0.03,0.08,-0.01,1721198959170,10000.0,10.207320902176043,0.0860232526704262,10.207320902176043,0.0860232526704262,4.22,0.0333333333333333,25.3821,0.0020333333333333,5.03806510477981,0.0450924975282289
-0.75,2.36,10.5,0.08,0.03,0.03,1721198959179,9000.0,10.78805357791664,0.0905538513813741,10.78805357791664,0.0905538513813741,4.036666666666666,0.0466666666666666,33.74903333333333,0.0008333333333333,5.809391821295352,0.0288675134594812
-0.03,-0.31,9.28,-0.04,0.09,0.06,1721198959189,10000.0,9.28522482226467,0.1153256259467079,9.28522482226467,0.1153256259467079,2.98,0.0366666666666666,29.78709999999999,0.0046333333333333,5.457755949105822,0.0680685928555404
0.22,-0.18,12.12,-0.01,0.06,0.04,1721198959198,9000.0,12.123332875080186,0.0728010988928051,12.123332875080186,0.0728010988928051,4.053333333333333,0.03,48.84333333333333,0.0013,6.988800564713041,0.0360555127546398
0.56,0.45,9.87,0.02,0.06,-0.02,1721198959208,10000.0,9.896110346999976,0.066332495807108,9.896110346999976,0.066332495807108,3.6266666666666665,0.02,29.237433333333325,0.0015999999999999,5.407164999640137,0.04
-0.03,1.51,10.37,0.07,0.04,-0.02,1721198959217,9000.0,10.479403608984626,0.0830662386291807,10.479403608984626,0.0830662386291807,3.95,0.03,31.5052,0.0021,5.612949313863434,0.0458257569495584
-0.59,1.79,8.58,0.05,0.09,0.01,1721198959227,10000.0,8.784566010907994,0.103440804327886,8.784566010907994,0.103440804327886,3.26,0.05,22.642900000000004,0.0015999999999999,4.758455631820056,0.04
-0.5,1.09,10.57,-0.01,0.08,-0.0,1721198959237,10000.0,10.63780992497986,0.0806225774829855,10.63780992497986,0.0806225774829855,3.72,0.0233333333333333,35.823899999999995,0.0024333333333333,5.985307009669596,0.0493288286231624
-0.24,-0.46,10.74,0.02,0.05,0.01,1721198959247,10000.0,10.752525284787756,0.0547722557505166,10.752525284787756,0.0547722557505166,3.346666666666667,0.0266666666666666,41.00813333333333,0.0004333333333333,6.403759312570495,0.0208166599946613
