AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-0.56,3.88,11.26,0.15,0.03,-0.39,1721199040674
-0.63,1.06,7.86,0.12,0.1,-0.35,1721199040679
-2.42,0.5,12.59,-0.02,0.26,-0.4,1721199040689
-2.68,4.69,16.69,0.22,0.12,-0.3,1721199040699
-2.59,6.03,7.73,0.18,0.14,-0.21,1721199040709
-1.69,2.06,10.36,0.19,0.15,-0.13,1721199040719
0.15,-0.71,7.55,0.22,0.14,-0.18,1721199040729
-0.41,2.56,10.89,0.18,0.24,-0.34,1721199040739
-0.51,4.43,13.19,0.24,0.17,-0.39,1721199040749
-1.8,0.39,8.09,0.29,0.02,-0.23,1721199040759
-0.69,5.55,10.73,0.3,0.34,-0.15,1721199040769
0.47,0.33,10.36,0.23,0.05,-0.14,1721199040779
-0.62,2.12,8.73,0.2,0.24,-0.27,1721199040789
-0.74,-0.35,9.29,0.15,0.14,-0.33,1721199040799
-3.98,0.86,8.7,0.09,0.09,-0.15,1721199040809
-2.24,0.45,11.55,0.07,0.22,-0.0,1721199040819
-1.8,1.03,8.26,0.08,0.05,-0.02,1721199040829
-1.9,-1.57,11.14,-0.12,0.17,-0.08,1721199040839
-2.91,0.55,14.15,0.05,0.08,0.0,1721199040849
-0.73,-1.6,6.76,-0.07,0.06,0.19,1721199040859
0.6,1.54,9.32,-0.04,0.12,0.2,1721199040869
0.93,-1.13,4.75,-0.15,0.07,-0.06,1721199040879
-2.99,-2.09,10.38,-0.34,0.06,-0.22,1721199040889
-1.84,-2.49,9.18,-0.19,-0.02,0.09,1721199040899
-3.09,-4.41,10.14,-0.36,0.06,0.23,1721199040909
-0.96,-4.98,9.05,-0.23,-0.11,0.28,1721199040919
2.5,-2.06,15.61,-0.31,0.25,0.14,1721199040929
0.93,-1.1,10.47,-0.06,-0.34,0.09,1721199040939
-0.47,-2.98,7.75,-0.3,0.27,-0.01,1721199040949
-0.46,0.82,14.49,-0.2,-0.09,0.15,1721199040959
-0.39,-1.17,12.42,-0.22,0.05,0.2,1721199040969
0.33,-1.06,6.36,-0.16,-0.11,0.31,1721199040979
1.83,-1.01,10.41,-0.31,0.24,0.1,1721199040989
-0.28,-0.9,13.75,-0.2,-0.16,0.07,1721199040999
-1.25,0.32,11.15,-0.15,0.11,-0.01,1721199041009
-0.24,5.11,12.62,0.02,0.01,0.16,1721199041019
0.62,0.97,9.51,-0.08,0.0,0.28,1721199041029
0.63,0.63,11.7,0.04,0.06,0.14,1721199041039
2.36,2.17,13.64,0.03,0.15,0.01,1721199041049
-0.29,1.65,5.66,0.2,-0.23,0.04,1721199041059
2.36,0.51,11.12,0.09,0.37,0.08,1721199041069
-0.1,2.8,13.96,0.27,-0.23,0.05,1721199041079
0.09,-0.75,7.57,0.19,0.18,0.07,1721199041089
-0.19,3.58,15.68,0.27,0.03,0.02,1721199041099
0.92,2.38,7.73,0.33,-0.04,0.13,1721199041109
1.47,3.14,9.84,0.24,0.22,0.09,1721199041119
2.82,2.05,9.54,0.22,-0.0,0.08,1721199041129
1.62,2.52,7.95,0.14,0.13,-0.08,1721199041139
2.26,0.1,11.18,0.03,0.13,-0.21,1721199041149
-0.36,2.13,12.64,0.09,0.06,-0.18,1721199041159
-0.52,-0.27,6.7,0.08,0.07,-0.06,1721199041169
-1.82,-0.44,10.73,-0.12,0.16,-0.07,1721199041179
-0.43,-0.14,10.21,0.04,0.04,0.01,1721199041189
1.66,-0.25,10.34,-0.15,0.2,-0.01,1721199041199
1.02,2.44,10.94,-0.07,0.05,-0.16,1721199041209
-0.05,-2.23,8.42,-0.17,0.12,-0.29,1721199041219
-1.69,-0.38,9.83,-0.06,0.06,-0.2,1721199041229
0.05,-2.68,9.67,-0.2,0.16,-0.1,1721199041239
-1.19,-1.34,11.94,-0.14,-0.0,-0.06,1721199041249
0.34,1.7,9.98,-0.04,0.19,-0.17,1721199041259
-0.94,-2.44,10.67,-0.23,0.03,-0.25,1721199041269
-2.11,-3.98,9.26,-0.16,0.07,-0.19,1721199041279
-1.01,-0.48,14.26,-0.13,0.21,-0.09,1721199041289
-2.18,-1.27,3.53,-0.08,-0.2,-0.04,1721199041299
-0.94,-1.44,11.36,-0.17,0.37,-0.08,1721199041309
0.5,-0.43,13.22,-0.13,-0.03,-0.0,1721199041319
-1.87,-2.48,8.48,-0.2,0.05,-0.08,1721199041329
-0.52,0.16,13.15,-0.1,0.18,-0.03,1721199041339
-0.84,-4.11,8.59,-0.14,-0.1,0.06,1721199041349
0.32,2.54,13.04,0.08,0.2,0.03,1721199041359
4.11,3.05,8.68,-0.02,0.02,0.03,1721199041369
-0.49,0.89,10.87,-0.06,-0.0,-0.15,1721199041379
0.89,4.34,17.89,0.07,0.26,-0.28,1721199041389
-4.36,1.43,6.24,0.1,-0.26,-0.17,1721199041399
-2.73,-1.86,8.25,-0.08,0.37,0.03,1721199041409
-0.63,0.83,13.18,0.17,-0.13,0.2,1721199041419
1.38,3.22,10.93,0.14,0.22,0.04,1721199041429
0.06,3.98,9.04,0.3,-0.18,-0.2,1721199041439
-1.14,3.99,8.39,0.23,0.19,-0.18,1721199041449
-2.12,-0.3,8.37,0.22,-0.09,0.04,1721199041459
-1.72,1.19,10.37,0.11,0.22,0.15,1721199041469
0.09,1.69,9.32,0.22,-0.12,0.12,1721199041479
1.31,0.91,10.74,0.08,0.13,0.08,1721199041489
-0.15,0.32,9.34,0.14,-0.12,-0.06,1721199041499
-1.6,2.1,11.33,0.1,0.1,-0.13,1721199041509
-2.71,2.23,12.23,0.15,-0.08,-0.0,1721199041519
-5.3,3.56,6.19,0.17,-0.1,0.13,1721199041529
-2.24,-2.04,7.17,-0.04,0.04,0.26,1721199041539
0.22,-1.24,10.61,0.02,-0.1,0.32,1721199041549
2.51,-0.75,11.71,-0.01,0.02,0.2,1721199041559
1.35,1.61,9.49,0.02,-0.18,0.02,1721199041569
0.96,1.23,14.01,-0.15,0.15,-0.12,1721199041579
-1.44,-2.44,13.15,-0.03,-0.29,0.03,1721199041589
-3.19,-3.48,7.88,-0.11,0.0,0.04,1721199041599
-0.8,-0.62,11.62,0.07,-0.06,0.27,1721199041609
-0.35,0.37,9.9,-0.03,-0.13,0.27,1721199041619
-0.52,-1.89,6.14,-0.02,-0.19,0.23,1721199041629
1.62,-2.6,10.83,-0.18,0.08,0.01,1721199041639
0.07,-2.97,9.19,-0.19,-0.3,0.02,1721199041649
-2.04,-2.22,10.22,-0.12,0.04,0.04,1721199041659
0.33,-2.13,9.72,-0.21,-0.09,0.2,1721199041669
-0.5,-1.61,11.36,-0.13,-0.11,0.15,1721199041679
2.72,0.13,14.09,-0.16,0.05,0.01,1721199041689
-0.69,-0.26,8.66,-0.06,-0.32,0.03,1721199041699
0.5,0.74,10.14,-0.03,0.22,0.0,1721199041709
-0.44,1.76,8.38,0.03,-0.34,0.15,1721199041719
1.08,2.93,10.6,-0.05,0.23,0.1,1721199041729
0.85,6.0,15.41,0.04,-0.19,-0.01,1721199041739
0.15,-2.12,7.14,-0.06,-0.08,-0.04,1721199041749
-0.3,-0.72,6.57,0.1,-0.07,-0.0,1721199041759
-0.29,-0.04,10.22,0.05,-0.01,-0.05,1721199041769
-1.36,7.93,14.85,0.39,-0.1,-0.05,1721199041779
1.42,1.18,6.86,0.28,-0.07,0.03,1721199041789
-1.23,0.48,11.46,0.16,-0.03,0.02,1721199041799
0.18,4.62,15.21,0.28,0.01,-0.1,1721199041809
-0.71,2.1,5.46,0.33,-0.32,0.03,1721199041819
1.65,-0.66,8.32,0.22,0.17,0.0,1721199041829
2.25,-1.4,10.17,0.23,-0.2,-0.04,1721199041839
1.41,-0.31,9.99,0.13,0.06,-0.23,1721199041849
1.3,4.83,14.47,0.26,0.01,-0.26,1721199041859
0.23,3.13,6.53,0.23,-0.14,-0.14,1721199041869
1.64,0.4,4.75,0.08,0.11,-0.11,1721199041879
2.3,-5.34,10.12,-0.15,0.04,-0.28,1721199041889
0.3,-1.54,11.7,-0.05,-0.03,-0.33,1721199041899
