AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
1.75,-0.81,9.31,0.03,0.08,-0.07,1721379006665,asphalt
3.05,-2.12,8.52,-0.02,0.02,-0.18,1721379006670,asphalt
0.07,1.99,11.02,0.05,0.13,-0.37,1721379006680,asphalt
-0.39,-1.4,7.93,-0.02,0.07,-0.32,1721379006690,asphalt
-3.45,0.81,10.96,-0.01,0.11,-0.2,1721379006700,asphalt
-1.11,0.04,8.95,-0.06,0.13,-0.01,1721379006710,asphalt
-0.07,-0.7,10.37,-0.1,0.13,0.05,1721379006720,asphalt
1.98,1.44,10.42,-0.02,0.16,-0.15,1721379006730,asphalt
1.92,-0.26,9.71,-0.09,0.1,-0.36,1721379006740,asphalt
-0.97,0.56,9.88,-0.0,0.08,-0.33,1721379006750,asphalt
-1.16,-2.58,9.87,-0.12,0.21,-0.28,1721379006760,asphalt
-2.6,-1.36,11.11,-0.03,0.04,-0.11,1721379006770,asphalt
0.34,0.51,10.03,-0.12,0.28,0.03,1721379006780,asphalt
0.61,-0.8,10.62,-0.07,0.06,-0.0,1721379006790,asphalt
0.82,0.84,11.1,-0.06,0.14,-0.13,1721379006800,asphalt
0.14,-0.58,8.88,-0.06,0.1,-0.25,1721379006810,asphalt
-2.04,0.07,8.97,-0.01,0.09,-0.26,1721379006820,asphalt
-1.42,-4.09,9.76,-0.12,0.13,-0.15,1721379006830,asphalt
-2.08,0.95,13.71,0.03,0.1,-0.01,1721379006840,asphalt
0.37,-0.3,10.65,-0.02,0.13,-0.02,1721379006850,asphalt
-0.17,1.53,10.26,0.06,0.03,0.0,1721379006860,asphalt
0.48,0.69,9.58,0.03,0.17,-0.09,1721379006870,asphalt
-1.39,0.17,11.57,0.07,0.02,-0.21,1721379006880,asphalt
-2.22,3.03,10.89,0.12,0.07,-0.17,1721379006890,asphalt
-1.36,-0.54,10.7,0.1,0.08,0.01,1721379006900,asphalt
-0.45,0.24,9.32,0.14,0.07,0.12,1721379006910,asphalt
1.55,2.95,9.36,0.11,0.14,0.06,1721379006920,asphalt
0.46,1.19,9.88,0.07,-0.0,-0.11,1721379006930,asphalt
-1.14,1.23,10.79,0.12,0.08,-0.23,1721379006940,asphalt
-2.31,-0.46,8.2,0.16,0.0,-0.13,1721379006950,asphalt
