AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
0.79,-0.79,9.04,-0.21,0.18,0.01,1721379513663
-0.35,1.86,14.06,-0.05,-0.01,-0.03,1721379513667
0.46,2.64,8.72,0.13,-0.16,-0.09,1721379513676
-0.78,-0.2,10.19,-0.14,-0.02,0.03,1721379513686
0.77,1.67,11.2,0.07,-0.05,0.1,1721379513695
2.07,-3.43,8.58,-0.17,-0.01,0.05,1721379513705
0.96,2.6,12.22,0.02,-0.12,-0.1,1721379513715
1.71,-1.93,5.58,-0.06,0.01,-0.2,1721379513725
-1.24,2.03,12.89,-0.02,-0.05,-0.17,1721379513735
-0.18,1.6,8.88,-0.01,0.02,-0.06,1721379513745
-0.65,-0.72,12.27,-0.09,0.01,0.07,1721379513754
0.52,1.29,9.96,0.07,-0.01,-0.02,1721379513764
1.2,3.92,9.22,-0.01,0.02,-0.11,1721379513773
0.53,5.93,9.45,-0.06,0.03,-0.2,1721379513783
0.92,3.67,9.77,-0.13,0.04,-0.18,1721379513792
-0.35,-2.21,9.77,-0.22,-0.02,-0.19,1721379513802
-1.07,-0.7,9.26,-0.13,0.02,-0.22,1721379513812
0.11,-1.78,10.77,-0.31,0.1,-0.16,1721379513822
-1.0,-1.7,11.48,-0.12,-0.07,-0.01,1721379513832
1.31,-0.4,9.86,-0.06,0.13,-0.11,1721379513842
1.96,0.14,9.79,-0.0,-0.05,-0.21,1721379513852
0.4,1.14,10.05,-0.01,0.06,-0.29,1721379513862
0.56,-1.43,10.59,-0.02,0.06,-0.27,1721379513872
-1.02,-1.63,12.11,0.01,0.08,-0.27,1721379513882
-1.12,0.9,10.59,0.09,0.06,-0.2,1721379513892
-0.79,-0.11,9.75,0.04,0.14,-0.12,1721379513902
0.22,1.23,9.75,0.15,0.09,-0.08,1721379513912
1.49,-2.91,9.47,0.03,0.16,-0.22,1721379513922
0.3,2.02,12.79,0.23,0.03,-0.29,1721379513932
1.24,-0.51,6.8,0.06,0.23,-0.19,1721379513942
-0.66,0.37,9.73,0.18,0.11,-0.19,1721379513952
0.49,1.41,10.99,0.17,0.22,-0.12,1721379513962
0.48,7.86,12.5,0.13,0.19,-0.04,1721379513972
1.48,4.99,8.29,0.01,0.23,-0.13,1721379513982
1.69,-5.34,10.57,-0.21,0.19,-0.26,1721379513992
0.5,-6.62,15.74,-0.16,0.27,-0.34,1721379514002
-1.68,1.03,15.7,0.07,0.16,-0.21,1721379514012
-1.92,1.5,14.57,0.09,0.34,-0.09,1721379514022
-0.36,3.35,11.02,0.31,0.15,-0.0,1721379514032
0.29,4.46,10.52,0.3,0.28,-0.12,1721379514042
-0.71,5.27,9.8,0.33,0.17,-0.2,1721379514052
-1.98,0.11,8.13,0.19,0.19,-0.16,1721379514062
-1.81,1.26,10.04,0.22,0.23,-0.03,1721379514072
-0.47,1.81,5.53,0.2,0.2,0.1,1721379514082
0.12,-0.37,6.68,0.09,0.22,-0.01,1721379514092
-0.24,0.96,7.72,0.12,0.13,-0.15,1721379514102
-1.29,1.62,6.48,0.03,0.14,-0.14,1721379514112
-1.66,0.84,7.94,0.0,0.12,0.0,1721379514122
-1.02,-0.42,6.16,-0.04,0.08,0.09,1721379514132
0.4,-0.99,9.62,-0.16,0.17,0.08,1721379514142
1.24,-1.81,8.26,-0.14,0.09,-0.02,1721379514152
0.96,-1.85,9.4,-0.19,0.14,-0.09,1721379514162
0.41,-0.05,7.21,-0.1,0.1,-0.11,1721379514172
-0.46,-1.79,7.33,-0.28,0.1,-0.1,1721379514182
-1.72,-4.99,15.1,-0.36,0.06,-0.03,1721379514192
-0.58,-7.13,20.76,-0.24,0.06,0.2,1721379514202
2.42,0.87,16.16,-0.06,0.14,0.22,1721379514212
2.89,6.34,4.0,-0.05,0.07,-0.17,1721379514222
-0.26,4.07,7.84,-0.4,0.12,-0.45,1721379514232
-3.33,-1.33,11.5,-0.2,0.0,-0.19,1721379514242
-3.84,-0.39,9.59,-0.14,0.13,0.22,1721379514252
-0.53,-1.57,11.9,-0.32,0.21,0.4,1721379514262
1.48,4.56,11.2,-0.17,0.09,0.43,1721379514272
4.37,0.89,9.46,-0.25,0.22,0.19,1721379514282
2.38,4.7,14.09,-0.09,-0.03,0.06,1721379514292
0.77,-1.91,7.3,-0.05,0.02,-0.12,1721379514302
-1.44,-0.28,13.89,-0.07,0.01,-0.11,1721379514312
-2.05,4.37,10.46,0.1,0.06,0.07,1721379514322
-1.0,-0.52,11.88,-0.12,0.15,0.1,1721379514332
-0.89,2.85,13.59,0.16,-0.02,0.05,1721379514342
-0.38,0.5,7.52,0.15,0.05,0.1,1721379514352
-0.55,-1.11,9.9,0.08,0.02,0.08,1721379514362
-0.35,3.51,12.21,0.18,0.11,-0.01,1721379514372
-1.35,0.79,9.02,0.15,-0.02,-0.05,1721379514382
-1.25,-1.61,9.4,0.13,0.05,-0.02,1721379514392
-2.25,-1.71,10.84,0.14,-0.02,0.14,1721379514402
-1.81,2.0,9.06,0.16,0.02,0.11,1721379514412
-0.32,-0.56,9.61,0.11,0.02,0.13,1721379514422
-1.03,1.24,11.01,0.14,-0.01,0.08,1721379514432
-1.02,-1.65,9.53,0.05,-0.04,0.06,1721379514442
-2.27,-2.21,7.47,0.04,-0.13,0.1,1721379514452
-0.27,-2.23,14.3,-0.05,0.06,0.17,1721379514462
0.0,2.32,8.54,0.17,-0.25,0.18,1721379514472
1.08,-2.34,8.54,-0.08,0.09,0.06,1721379514482
-0.91,2.49,10.91,0.16,-0.23,-0.02,1721379514492
-1.45,-3.47,4.77,-0.09,-0.06,-0.02,1721379514502
-2.14,0.0,16.25,0.01,-0.12,0.08,1721379514512
0.45,2.22,8.23,0.09,-0.12,0.24,1721379514522
1.89,-0.2,11.53,-0.13,-0.02,0.22,1721379514532
2.51,2.08,9.06,0.15,-0.13,0.02,1721379514542
1.21,-0.87,8.76,-0.11,-0.09,-0.12,1721379514552
-1.15,4.56,11.88,0.1,-0.18,-0.03,1721379514562
0.06,0.94,10.03,-0.13,0.02,-0.05,1721379514572
-2.69,2.37,12.92,0.19,-0.33,0.0,1721379514582
0.72,-3.69,6.03,-0.07,0.0,0.1,1721379514592
-0.1,-2.67,14.55,0.0,-0.18,0.14,1721379514602
0.88,1.09,8.43,0.04,-0.05,0.06,1721379514612
-1.02,4.26,11.37,-0.01,-0.08,-0.09,1721379514622
-0.92,2.44,8.65,0.1,-0.12,0.02,1721379514632
0.3,3.16,10.21,0.02,-0.03,0.16,1721379514642
1.65,0.25,9.28,-0.01,-0.07,0.05,1721379514652
0.73,-0.42,8.35,-0.02,-0.13,-0.13,1721379514662
0.4,0.59,12.35,-0.08,0.02,-0.2,1721379514672
-1.17,1.52,9.55,0.02,-0.14,-0.01,1721379514682
-0.4,-1.89,8.95,-0.13,0.18,0.05,1721379514692
