AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-2.83,-1.42,-35.16,1.3,-0.33,0.71,1721665347129
5.46,6.68,-22.91,-0.05,0.9,0.74,1721665347134
8.97,-22.4,11.21,-1.33,0.41,0.69,1721665347143
11.33,27.3,36.81,-0.1,-0.2,-0.14,1721665347153
11.34,-2.5,-22.53,0.6,2.59,-0.67,1721665347162
8.79,-10.13,-0.36,0.55,-1.27,-0.41,1721665347172
-11.94,-12.33,5.54,-0.33,1.84,-0.43,1721665347181
1.11,8.56,38.33,-0.19,-0.12,0.22,1721665347191
-15.16,41.54,-1.2,-0.63,0.59,-0.08,1721665347200
8.14,-2.28,-4.59,0.61,-0.25,0.15,1721665347210
-1.3,-17.89,-4.76,0.07,0.62,0.24,1721665347219
5.04,6.5,19.37,0.32,0.03,0.32,1721665347229
5.15,-6.57,3.17,0.71,-0.22,-0.28,1721665347238
-4.94,2.39,11.48,0.49,-1.04,-0.82,1721665347248
-3.47,-3.46,8.69,0.24,0.08,-0.63,1721665347257
-5.18,8.49,8.2,-0.11,0.0,0.18,1721665347267
-1.43,-1.36,15.3,-0.43,0.4,0.38,1721665347276
4.21,-5.76,19.17,-0.06,0.18,-0.01,1721665347286
0.59,-6.77,6.26,0.29,-0.31,-0.47,1721665347295
-1.01,1.95,-4.38,0.3,0.07,-0.45,1721665347305
-1.55,8.35,5.96,-0.12,0.25,-0.06,1721665347314
-0.55,4.67,21.15,-0.23,0.05,0.0,1721665347324
-0.75,-5.6,19.34,-0.25,0.18,-0.17,1721665347333
-1.13,-9.79,9.25,-0.26,-0.2,-0.13,1721665347343
-1.0,-2.88,7.61,-0.32,0.11,-0.16,1721665347352
-0.06,6.99,13.62,-0.26,0.13,-0.1,1721665347362
-1.49,3.85,17.42,-0.15,-0.06,0.02,1721665347372
0.39,4.73,11.27,0.04,-0.06,0.06,1721665347382
3.86,2.57,1.41,-0.08,0.09,-0.06,1721665347392
1.8,4.87,7.02,-0.19,0.09,-0.24,1721665347402
-1.62,-0.28,11.93,-0.16,-0.15,-0.44,1721665347412
-4.16,1.31,9.14,-0.26,0.23,-0.51,1721665347422
-6.86,15.0,9.38,0.3,-0.03,-0.23,1721665347432
-10.95,-23.46,10.93,-0.4,-0.24,0.18,1721665347442
-3.22,4.27,25.88,-0.42,0.66,0.68,1721665347452
3.27,2.63,12.62,-0.22,-0.01,0.79,1721665347462
2.39,17.73,1.02,0.28,0.15,-0.11,1721665347472
2.71,-0.88,10.51,0.05,-0.26,0.08,1721665347482
-0.34,4.24,19.03,-0.15,0.16,0.1,1721665347492
0.68,0.78,17.36,-0.36,-0.06,0.0,1721665347502
-3.71,1.51,3.38,-0.13,-0.14,0.01,1721665347512
-3.2,-2.85,7.49,-0.02,-0.06,0.13,1721665347522
-1.59,-3.97,10.75,0.01,0.17,0.15,1721665347532
0.04,9.97,10.98,0.13,0.02,0.12,1721665347542
0.14,-1.02,7.22,0.15,-0.14,0.06,1721665347552
-0.17,0.91,8.47,-0.0,0.1,0.06,1721665347562
1.04,4.45,12.55,0.19,0.07,0.02,1721665347572
0.68,-3.24,8.37,0.16,-0.11,0.02,1721665347582
0.47,-0.32,10.31,0.1,0.03,0.11,1721665347592
2.05,-8.77,13.17,-0.06,0.03,0.09,1721665347602
0.35,2.34,15.79,0.08,0.02,-0.04,1721665347612
2.39,3.09,7.72,0.46,0.0,-0.02,1721665347622
1.31,4.3,-1.1,0.5,0.04,0.0,1721665347632
3.05,-4.12,10.13,-0.22,0.11,-0.14,1721665347642
