AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
-1.43,-1.88,12.41,-0.09,-0.18,0.13,1721665408633,asphalt
-0.94,0.94,11.9,-0.02,-0.15,0.17,1721665408638,asphalt
0.47,1.14,8.61,0.02,-0.14,0.23,1721665408647,asphalt
1.84,2.49,9.08,-0.02,-0.12,0.21,1721665408657,asphalt
1.82,0.53,10.97,-0.09,-0.16,0.21,1721665408666,asphalt
2.77,-1.63,9.82,-0.04,-0.1,0.13,1721665408676,asphalt
2.77,-0.43,9.38,0.08,-0.15,0.06,1721665408685,asphalt
1.94,0.63,8.65,0.08,-0.14,-0.03,1721665408695,asphalt
1.28,0.83,9.96,0.09,-0.14,-0.05,1721665408704,asphalt
0.8,0.18,11.42,0.06,-0.09,-0.03,1721665408714,asphalt
0.78,-1.83,10.86,-0.02,-0.1,0.01,1721665408724,asphalt
1.5,0.2,10.91,-0.01,-0.06,0.05,1721665408734,asphalt
1.73,0.28,10.2,0.06,-0.08,-0.02,1721665408743,asphalt
1.53,1.36,8.63,0.05,-0.06,-0.06,1721665408753,asphalt
1.51,0.85,9.52,0.03,-0.07,-0.1,1721665408762,asphalt
1.04,-2.1,11.09,-0.06,-0.02,-0.11,1721665408772,asphalt
0.32,0.39,11.26,-0.08,-0.01,-0.18,1721665408782,asphalt
0.18,0.76,11.27,-0.01,-0.03,-0.22,1721665408792,asphalt
-0.83,1.01,9.36,0.04,-0.08,-0.21,1721665408802,asphalt
-0.15,4.33,9.04,0.08,0.05,-0.1,1721665408812,asphalt
-0.03,-0.32,9.26,-0.09,0.05,-0.1,1721665408822,asphalt
0.78,-0.34,13.09,-0.16,0.07,-0.09,1721665408832,asphalt
0.6,0.01,11.86,-0.05,0.03,-0.1,1721665408842,asphalt
1.16,1.47,8.94,0.06,0.06,-0.16,1721665408852,asphalt
1.03,3.51,9.23,0.16,0.11,-0.25,1721665408862,asphalt
0.42,1.76,11.54,0.05,0.08,-0.24,1721665408872,asphalt
0.63,1.12,13.06,0.02,0.15,-0.14,1721665408882,asphalt
1.71,1.39,10.01,0.07,0.15,-0.18,1721665408892,asphalt
1.88,2.91,8.4,0.14,0.14,-0.31,1721665408902,asphalt
0.45,0.58,8.02,0.13,0.14,-0.5,1721665408912,asphalt
-1.09,1.49,10.37,0.11,0.13,-0.51,1721665408922,asphalt
-1.46,0.97,13.15,-0.0,0.2,-0.33,1721665408932,asphalt
-0.34,0.98,12.36,-0.07,0.22,-0.24,1721665408942,asphalt
1.04,4.71,11.02,0.01,0.22,-0.38,1721665408952,asphalt
0.46,4.02,8.58,0.14,0.15,-0.63,1721665408962,asphalt
-1.98,2.13,8.11,0.15,0.13,-0.68,1721665408972,asphalt
-2.42,-0.41,8.76,0.07,0.22,-0.51,1721665408982,asphalt
-1.88,-3.61,10.84,-0.06,0.21,-0.31,1721665408992,asphalt
-0.57,1.77,13.19,0.02,0.31,-0.29,1721665409002,asphalt
0.76,3.9,11.73,0.1,0.21,-0.42,1721665409012,asphalt
1.01,2.43,8.06,0.09,0.21,-0.51,1721665409022,asphalt
-0.02,-0.54,9.43,0.01,0.21,-0.57,1721665409032,asphalt
-0.99,-0.57,13.72,-0.03,0.31,-0.51,1721665409042,asphalt
-0.82,-2.4,9.98,0.05,0.26,-0.49,1721665409052,asphalt
-1.87,-1.7,8.32,0.11,0.26,-0.51,1721665409062,asphalt
-2.65,1.81,9.73,0.13,0.27,-0.5,1721665409072,asphalt
-3.3,4.67,10.42,0.13,0.28,-0.32,1721665409082,asphalt
-1.74,-1.85,10.5,-0.09,0.4,-0.11,1721665409092,asphalt
0.85,-2.8,12.91,-0.12,0.44,-0.1,1721665409102,asphalt
1.47,1.7,9.37,0.1,0.36,-0.25,1721665409112,asphalt
0.23,-1.05,4.87,0.03,0.31,-0.49,1721665409122,asphalt
-2.21,1.15,7.93,0.05,0.31,-0.5,1721665409132,asphalt
-3.34,0.29,12.66,-0.06,0.36,-0.25,1721665409142,asphalt
-1.84,0.05,13.66,-0.17,0.44,-0.06,1721665409152,asphalt
-0.67,0.93,11.91,-0.07,0.39,-0.05,1721665409162,asphalt
0.64,-1.31,8.3,-0.03,0.36,-0.13,1721665409172,asphalt
-0.59,1.34,7.35,0.03,0.33,-0.25,1721665409182,asphalt
-2.36,3.34,9.74,0.03,0.3,-0.28,1721665409192,asphalt
-3.08,1.17,10.8,-0.05,0.32,-0.14,1721665409202,asphalt
-2.94,-1.4,11.74,-0.09,0.34,0.09,1721665409212,asphalt
-1.18,0.32,11.63,-0.12,0.33,0.18,1721665409222,asphalt
-0.11,1.55,9.04,0.05,0.31,0.04,1721665409232,asphalt
-0.79,-1.64,7.56,0.05,0.23,-0.12,1721665409242,asphalt
-2.12,-0.53,11.65,-0.01,0.27,-0.09,1721665409252,asphalt
-1.9,0.33,13.35,0.01,0.21,0.05,1721665409262,asphalt
-1.87,1.64,10.88,0.03,0.23,0.14,1721665409272,asphalt
-0.87,-0.42,7.31,0.08,0.23,0.1,1721665409282,asphalt
-1.49,-0.37,8.77,0.05,0.19,-0.03,1721665409292,asphalt
-2.85,0.52,11.38,0.03,0.13,-0.01,1721665409302,asphalt
-3.44,0.34,12.38,-0.0,0.14,0.15,1721665409312,asphalt
-2.19,3.64,11.54,0.02,0.15,0.33,1721665409322,asphalt
-0.51,-0.01,8.25,0.1,0.1,0.39,1721665409332,asphalt
0.25,-2.26,7.84,0.04,0.11,0.23,1721665409342,asphalt
0.26,3.18,10.98,0.16,0.06,0.09,1721665409352,asphalt
-0.94,2.01,8.71,0.14,-0.08,0.1,1721665409362,asphalt
-2.34,4.4,10.76,0.01,0.06,0.13,1721665409372,asphalt
-2.41,3.51,12.2,-0.01,-0.01,0.19,1721665409382,asphalt
-2.21,0.19,10.5,0.03,-0.07,0.33,1721665409392,asphalt
-0.78,-3.37,9.08,0.05,-0.02,0.43,1721665409402,asphalt
1.0,2.95,11.49,0.18,0.0,0.39,1721665409412,asphalt
1.93,9.06,10.37,0.23,-0.13,0.33,1721665409422,asphalt
1.87,8.88,8.53,0.15,-0.09,0.2,1721665409432,asphalt
-0.2,2.89,9.73,-0.07,-0.16,0.1,1721665409442,asphalt
