AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
10.07,10.35,29.22,-0.14,0.41,-1.18,1721228095662,cobblestone
-11.38,-9.77,43.69,-0.37,0.53,-1.0,1721228095668,cobblestone
-10.84,51.41,35.13,0.68,-0.59,-0.23,1721228095678,cobblestone
-10.07,-19.28,-33.81,-0.5,-0.44,0.05,1721228095688,cobblestone
7.17,-33.78,15.87,-1.92,1.44,0.1,1721228095697,cobblestone
5.86,6.22,61.38,0.56,-0.91,0.55,1721228095707,cobblestone
7.52,3.58,-39.33,1.44,-0.14,0.12,1721228095717,cobblestone
5.84,-4.08,-5.28,-1.34,0.71,-0.9,1721228095727,cobblestone
-1.48,40.07,52.85,0.66,-0.26,-0.19,1721228095737,cobblestone
-6.75,39.09,6.79,1.35,0.99,0.03,1721228095747,cobblestone
0.01,-19.83,-14.55,-0.71,-0.36,0.01,1721228095756,cobblestone
0.68,-30.31,17.6,-1.12,0.95,-1.26,1721228095766,cobblestone
-9.87,5.37,18.88,1.09,-0.16,-1.14,1721228095775,cobblestone
-10.26,-15.63,0.26,0.34,0.34,0.58,1721228095785,cobblestone
-8.0,3.55,23.89,0.25,0.52,1.48,1721228095794,cobblestone
11.53,18.5,20.01,1.05,0.15,1.78,1721228095804,cobblestone
15.75,28.48,-6.58,0.92,0.41,0.54,1721228095814,cobblestone
13.49,-0.41,-22.44,0.03,-0.2,-1.31,1721228095824,cobblestone
0.35,-40.93,-12.91,-0.49,-0.3,-1.7,1721228095834,cobblestone
-12.17,-8.56,48.64,0.19,0.23,-1.45,1721228095844,cobblestone
-14.66,-13.75,35.52,0.7,-0.05,0.32,1721228095853,cobblestone
-1.08,24.35,38.29,0.75,0.9,2.39,1721228095863,cobblestone
9.77,38.85,-15.33,0.94,0.12,1.75,1721228095873,cobblestone
18.88,-8.56,-28.94,-0.8,0.25,-0.95,1721228095883,cobblestone
6.97,-42.17,0.05,-0.86,-1.08,-1.72,1721228095893,cobblestone
-10.93,-0.4,27.9,0.18,0.62,-0.72,1721228095903,cobblestone
-8.65,5.6,23.98,0.43,0.91,0.47,1721228095913,cobblestone
-4.82,12.23,28.47,-0.08,0.01,0.36,1721228095923,cobblestone
-1.79,19.65,13.74,0.43,-0.38,0.88,1721228095933,cobblestone
11.74,5.34,-5.83,-0.4,0.32,0.64,1721228095943,cobblestone
7.72,-25.14,-18.27,-0.24,-0.35,-0.3,1721228095953,cobblestone
4.71,-5.0,-0.74,-0.26,0.68,-0.75,1721228095963,cobblestone
-0.74,2.43,28.59,-0.43,0.29,-0.61,1721228095972,cobblestone
-4.87,-9.46,33.15,0.22,0.43,-0.45,1721228095982,cobblestone
-10.88,-2.32,20.03,0.4,-0.72,0.42,1721228095992,cobblestone
-5.55,22.94,11.04,0.0,0.65,0.62,1721228096002,cobblestone
4.39,10.33,-19.3,0.18,-0.71,1.14,1721228096012,cobblestone
10.18,-32.3,-15.81,-0.93,1.02,0.37,1721228096022,cobblestone
3.05,4.2,55.76,-0.12,0.25,-0.62,1721228096032,cobblestone
-9.36,17.64,29.29,1.81,1.13,-0.5,1721228096042,cobblestone
-6.4,6.78,-12.7,-0.43,-0.62,0.04,1721228096052,cobblestone
-9.31,-6.09,36.5,-1.35,0.61,0.56,1721228096062,cobblestone
15.49,-24.5,14.15,0.14,-0.14,0.55,1721228096072,cobblestone
1.19,-8.76,-8.33,-0.04,-0.12,-0.31,1721228096082,cobblestone
0.9,13.84,30.64,-0.25,0.98,-0.52,1721228096092,cobblestone
-7.92,18.14,14.5,0.89,-0.71,0.01,1721228096102,cobblestone
-4.29,0.99,-4.72,-0.25,0.4,0.41,1721228096112,cobblestone
1.3,9.19,30.96,-0.57,0.53,0.37,1721228096122,cobblestone
0.79,-17.73,7.81,0.19,-0.71,0.32,1721228096132,cobblestone
2.63,9.28,0.12,0.66,0.54,-0.13,1721228096142,cobblestone
1.39,-1.22,-22.96,0.58,-0.59,0.06,1721228096152,cobblestone
-2.0,-13.87,7.56,-0.6,0.7,0.21,1721228096162,cobblestone
2.67,17.23,56.58,-0.1,0.29,0.39,1721228096172,cobblestone
-0.74,12.68,15.52,0.53,-0.79,0.0,1721228096182,cobblestone
0.06,-1.47,-7.23,-0.38,0.17,-0.09,1721228096192,cobblestone
-2.58,-22.17,6.04,-0.71,0.0,0.01,1721228096202,cobblestone
-3.87,-5.09,14.68,0.24,0.17,0.1,1721228096212,cobblestone
-1.43,1.81,-19.41,0.94,-0.64,0.45,1721228096222,cobblestone
0.79,-5.66,-11.15,-0.3,0.6,0.74,1721228096232,cobblestone
9.02,19.42,57.05,-0.75,0.78,0.59,1721228096242,cobblestone
0.75,14.5,18.64,0.55,0.14,-0.49,1721228096252,cobblestone
2.07,-1.12,6.35,-0.62,-0.02,-1.0,1721228096262,cobblestone
-11.65,-19.91,-4.31,-0.26,-0.89,0.38,1721228096272,cobblestone
4.47,-5.02,3.65,-0.09,0.76,0.65,1721228096282,cobblestone
4.0,-1.81,12.4,-0.5,-0.42,0.09,1721228096292,cobblestone
-2.59,5.06,33.71,-0.17,0.22,-0.57,1721228096302,cobblestone
-1.39,23.34,36.11,-0.27,-0.07,-0.31,1721228096312,cobblestone
-7.52,-22.66,-0.85,-0.4,-0.78,0.32,1721228096322,cobblestone
0.5,15.61,11.03,-0.24,0.99,0.5,1721228096332,cobblestone
1.68,-8.11,-29.41,0.77,-1.02,0.69,1721228096342,cobblestone
6.85,-37.68,-2.83,-0.88,1.59,-0.04,1721228096352,cobblestone
0.05,36.47,66.01,0.36,-0.41,0.15,1721228096362,cobblestone
-4.41,17.63,6.81,1.06,-0.84,-0.45,1721228096372,cobblestone
1.13,-6.9,-0.9,-0.63,0.11,0.09,1721228096382,cobblestone
0.74,-3.48,30.71,-0.42,0.24,0.3,1721228096392,cobblestone
2.6,-14.73,-3.27,0.84,-0.95,-0.49,1721228096402,cobblestone
-6.04,-18.38,-14.87,0.22,0.34,-1.01,1721228096412,cobblestone
-10.65,-9.07,29.37,0.06,-0.11,-0.38,1721228096422,cobblestone
-14.07,25.14,43.85,0.88,0.33,0.73,1721228096432,cobblestone
4.04,21.75,-5.91,0.79,-0.35,1.49,1721228096442,cobblestone
15.71,2.25,-19.99,-0.55,0.95,0.83,1721228096452,cobblestone
13.14,-28.42,9.84,-0.79,0.0,-0.41,1721228096462,cobblestone
-0.02,-18.98,24.12,0.55,-0.17,-1.53,1721228096472,cobblestone
-10.76,-2.58,12.94,0.75,-1.15,-1.23,1721228096482,cobblestone
-15.15,16.51,27.85,0.53,0.06,0.28,1721228096492,cobblestone
-1.97,34.25,11.75,0.7,-0.08,1.45,1721228096502,cobblestone
11.33,-0.01,-37.89,-0.41,0.2,0.73,1721228096512,cobblestone
8.97,-50.88,-3.53,-2.05,0.52,-0.44,1721228096522,cobblestone
-11.79,-16.24,78.45,-0.99,0.29,-1.67,1721228096532,cobblestone
-19.38,44.06,18.52,3.16,-1.47,-0.73,1721228096542,cobblestone
-5.92,-8.98,-46.62,0.26,0.34,0.63,1721228096552,cobblestone
2.37,25.23,33.61,-0.71,0.75,1.74,1721228096562,cobblestone
15.8,-6.85,-13.72,0.5,-0.47,0.55,1721228096572,cobblestone
