AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
3.98,-12.45,78.45,-1.16,-0.61,-0.23,1722175163588,cobblestone
-0.31,41.88,-42.86,4.22,-2.44,0.08,1722175163597,cobblestone
-0.91,-2.04,-35.43,-4.37,0.5,-0.73,1722175163606,cobblestone
19.84,-28.26,9.29,2.22,2.33,-1.04,1722175163615,cobblestone
9.27,-22.18,-19.06,-1.45,-0.5,-1.13,1722175163624,cobblestone
-8.08,-21.29,18.15,-2.32,1.22,-0.47,1722175163633,cobblestone
14.52,-55.36,78.45,0.75,3.97,0.66,1722175163642,cobblestone
-11.48,44.14,0.26,3.37,-3.76,0.26,1722175163651,cobblestone
-11.44,29.88,19.08,-1.39,0.92,-0.62,1722175163660,cobblestone
0.69,1.75,-3.95,0.51,1.11,0.51,1722175163669,cobblestone
5.5,-16.89,-30.27,-1.5,-0.9,0.07,1722175163678,cobblestone
-1.85,-7.51,30.77,-0.07,-0.14,-0.65,1722175163687,cobblestone
0.73,10.74,15.78,-0.02,1.79,-0.77,1722175163696,cobblestone
-2.95,-2.87,37.59,0.03,-0.86,0.08,1722175163705,cobblestone
-21.29,2.36,11.71,2.03,-1.94,0.26,1722175163714,cobblestone
-2.43,1.29,-22.08,-1.45,0.7,0.06,1722175163723,cobblestone
-0.27,-27.41,43.13,0.6,0.54,0.25,1722175163732,cobblestone
9.43,24.41,-16.61,0.48,-0.32,-0.3,1722175163741,cobblestone
2.68,-6.57,39.9,-1.49,1.16,-0.14,1722175163750,cobblestone
2.0,-9.77,16.1,1.22,0.86,0.04,1722175163760,cobblestone
12.32,2.43,9.39,-0.57,0.55,-0.17,1722175163770,cobblestone
-1.52,12.54,-9.86,0.47,-0.59,-0.57,1722175163779,cobblestone
-5.59,-8.71,7.04,-1.42,0.21,-0.18,1722175163788,cobblestone
-4.97,-1.33,36.88,0.43,-0.76,0.38,1722175163797,cobblestone
11.09,-0.43,11.41,-0.42,0.49,0.24,1722175163806,cobblestone
15.92,-22.29,26.28,0.92,0.29,0.5,1722175163815,cobblestone
5.04,1.93,-25.83,-0.3,0.18,-0.3,1722175163824,cobblestone
-2.26,0.07,45.98,-0.62,0.3,0.1,1722175163833,cobblestone
5.3,14.21,-15.79,2.2,-0.41,0.22,1722175163842,cobblestone
2.56,3.76,-22.33,-0.23,-1.31,0.25,1722175163851,cobblestone
0.43,-13.61,5.84,-1.26,0.8,-0.3,1722175163860,cobblestone
9.5,-13.55,78.45,-2.02,-0.11,-0.21,1722175163869,cobblestone
4.95,-5.46,10.98,2.05,1.21,0.1,1722175163878,cobblestone
11.31,-7.06,-19.21,0.76,-0.7,-0.42,1722175163888,cobblestone
-12.93,-0.49,-1.7,-0.36,0.1,-0.29,1722175163897,cobblestone
-12.37,6.17,14.81,0.03,0.42,-0.07,1722175163906,cobblestone
13.25,-2.86,29.35,0.18,0.75,0.53,1722175163915,cobblestone
12.88,-0.63,11.73,0.57,-0.65,0.23,1722175163924,cobblestone
6.83,4.68,-1.97,-0.15,-0.45,-0.5,1722175163933,cobblestone
-2.26,0.82,8.67,0.34,0.16,-0.61,1722175163943,cobblestone
-7.06,-0.68,7.08,-0.77,0.12,0.15,1722175163952,cobblestone
0.29,-16.51,15.85,0.99,-0.08,0.2,1722175163962,cobblestone
5.57,17.94,0.47,0.17,0.03,-0.31,1722175163971,cobblestone
6.01,-0.05,3.7,-0.1,0.35,-0.44,1722175163980,cobblestone
0.03,2.31,8.99,-0.29,-0.38,-0.18,1722175163989,cobblestone
2.84,4.91,7.64,-0.93,0.07,0.02,1722175163998,cobblestone
