AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-0.96,-0.08,12.39,0.07,0.08,0.02,1721743885608
0.67,1.78,11.8,0.1,0.15,0.09,1721743885618
1.78,3.29,9.36,0.11,0.08,0.01,1721743885627
0.02,0.79,7.85,-0.02,0.05,-0.06,1721743885636
-0.26,-0.82,11.34,0.02,0.17,-0.05,1721743885645
-0.94,-0.73,9.48,0.11,0.04,-0.01,1721743885654
-1.92,0.67,7.6,0.08,0.1,0.06,1721743885663
-0.69,2.5,11.31,0.05,0.22,0.09,1721743885672
-0.7,3.03,13.39,0.09,0.01,0.12,1721743885681
-0.6,1.08,11.02,0.11,0.09,0.14,1721743885690
0.81,2.02,12.71,0.07,0.11,0.1,1721743885699
-0.81,0.18,9.35,0.13,-0.07,0.11,1721743885708
-0.3,0.4,6.63,0.12,0.09,0.04,1721743885717
-0.46,-2.63,6.96,0.03,-0.0,0.1,1721743885726
-3.07,1.36,9.78,0.09,0.03,0.19,1721743885735
-0.18,4.63,11.12,0.13,0.05,0.23,1721743885744
-0.58,1.48,8.16,0.06,-0.07,0.15,1721743885753
-0.72,1.46,11.78,0.07,0.07,0.12,1721743885762
-0.92,-1.85,10.04,0.04,-0.1,0.2,1721743885771
-0.1,0.67,12.21,0.08,0.08,0.17,1721743885780
-0.53,1.61,8.03,0.12,-0.21,0.23,1721743885789
0.66,0.81,10.39,0.06,0.09,0.14,1721743885798
-0.39,3.93,9.03,0.12,-0.19,0.08,1721743885807
-0.53,0.77,7.13,0.01,-0.02,0.04,1721743885816
-2.39,-2.96,10.8,-0.12,-0.1,0.1,1721743885825
-2.36,-0.13,12.65,0.09,-0.09,0.23,1721743885834
0.65,2.83,8.31,0.05,-0.11,0.28,1721743885843
0.07,11.26,8.81,0.11,-0.12,0.17,1721743885852
1.49,-0.02,6.34,-0.1,-0.15,0.06,1721743885861
-0.91,-5.28,11.35,-0.24,-0.08,-0.03,1721743885870
-1.92,1.84,13.09,0.04,-0.15,-0.01,1721743885879
-1.89,-1.65,8.12,-0.16,-0.2,0.09,1721743885888
-3.13,4.64,13.27,-0.14,-0.04,0.27,1721743885897
3.09,0.98,11.25,0.02,-0.11,0.31,1721743885906
2.48,-1.49,8.37,-0.07,-0.17,0.08,1721743885915
2.03,-2.24,11.01,-0.16,-0.09,-0.13,1721743885924
-2.43,3.37,10.07,-0.09,-0.21,-0.18,1721743885934
-4.49,0.62,14.01,-0.08,-0.07,0.01,1721743885943
-3.59,-2.52,9.88,-0.04,-0.31,0.44,1721743885952
2.65,-1.31,8.43,-0.08,0.09,0.41,1721743885961
3.07,5.55,9.02,0.01,-0.26,0.05,1721743885970
0.72,5.57,5.0,-0.01,-0.14,-0.24,1721743885979
-2.32,-1.02,10.67,-0.24,-0.1,-0.16,1721743885988
-4.74,-1.36,17.5,0.01,-0.11,0.03,1721743885997
-1.93,-3.51,4.98,0.09,-0.34,0.29,1721743886006
1.2,-0.95,6.54,-0.27,0.08,0.36,1721743886015
3.57,6.35,16.73,-0.1,-0.09,0.23,1721743886024
4.3,1.45,11.85,-0.01,-0.3,-0.11,1721743886033
1.87,2.88,8.86,0.08,-0.09,-0.32,1721743886042
-0.02,-3.77,6.85,-0.02,-0.22,-0.38,1721743886051
-5.73,-2.01,9.11,-0.08,-0.09,-0.18,1721743886060
-2.52,-0.0,15.21,-0.06,0.02,0.12,1721743886069
-1.28,5.22,12.76,0.07,-0.23,0.31,1721743886078
4.02,2.14,9.51,-0.01,0.03,0.2,1721743886087
4.11,0.03,12.05,-0.04,-0.12,-0.09,1721743886096
