AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
1.56,11.12,11.97,0.32,0.07,0.42,1721206993672
4.27,13.88,10.01,0.4,0.0,0.36,1721206993676
5.46,5.16,2.43,0.26,-0.08,-0.03,1721206993685
1.86,-7.95,9.7,-0.22,-0.01,-0.5,1721206993695
-4.21,-1.53,19.21,-0.11,-0.28,-0.52,1721206993704
-4.84,5.42,11.09,0.27,-0.02,0.0,1721206993714
-2.93,3.6,5.36,0.17,-0.07,0.5,1721206993723
1.83,4.24,10.01,0.18,0.14,0.46,1721206993733
4.51,0.91,5.01,0.06,-0.02,0.08,1721206993742
2.71,-4.31,12.69,-0.23,0.05,-0.31,1721206993752
-1.58,1.47,14.13,0.2,-0.38,-0.07,1721206993762
-2.22,2.73,3.13,0.22,0.09,0.25,1721206993772
2.31,0.95,9.83,-0.07,0.21,0.18,1721206993781
1.05,1.02,13.86,-0.13,-0.2,-0.11,1721206993791
-0.86,-0.85,10.58,-0.19,-0.04,-0.29,1721206993800
-3.42,0.42,12.69,-0.06,-0.11,-0.07,1721206993810
-3.61,-1.15,6.92,0.07,-0.06,0.31,1721206993819
0.16,-3.6,8.79,-0.08,0.08,0.43,1721206993829
3.78,-1.33,13.18,-0.17,0.07,0.16,1721206993838
3.51,2.2,13.15,-0.08,-0.12,-0.2,1721206993848
-0.24,2.53,7.16,-0.04,-0.16,-0.26,1721206993857
-0.33,-1.37,11.09,-0.13,0.07,-0.01,1721206993867
0.05,-1.46,13.15,-0.13,-0.01,-0.01,1721206993876
0.61,-3.91,10.57,-0.15,-0.03,-0.02,1721206993886
-0.01,-2.62,7.61,-0.08,-0.06,-0.05,1721206993895
0.45,0.07,9.2,0.05,0.08,-0.07,1721206993905
-0.38,5.59,10.66,0.17,-0.0,-0.07,1721206993914
-0.12,2.93,11.22,-0.06,0.1,-0.15,1721206993924
-1.22,-4.87,11.31,-0.21,-0.13,-0.12,1721206993933
-1.44,-2.87,6.91,-0.02,-0.01,-0.07,1721206993943
2.71,-2.57,7.36,0.02,0.2,-0.01,1721206993952
3.66,-0.71,13.55,0.1,-0.01,-0.06,1721206993962
1.96,4.24,12.63,0.16,0.16,-0.3,1721206993971
-0.48,0.43,9.33,-0.12,0.06,-0.42,1721206993981
-4.48,-1.92,13.74,-0.27,-0.03,-0.29,1721206993990
-2.69,-4.39,13.48,-0.03,0.11,0.01,1721206994000
0.49,1.08,10.19,0.15,0.18,0.08,1721206994009
3.48,-0.72,4.68,0.2,0.15,-0.03,1721206994019
3.14,-2.16,10.39,0.02,0.22,-0.31,1721206994028
-1.87,5.09,15.65,0.1,0.02,-0.49,1721206994038
-3.46,6.1,10.5,0.15,0.07,-0.27,1721206994047
-2.59,-2.61,6.62,0.06,0.16,0.16,1721206994057
