AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,TimeDiff(ms),Acc_Magnitude,Gyr_Magnitude,Acc_L2Norm,Gyr_L2Norm,Acc_Mean,Gyr_Mean,Acc_Variance,Gyr_Variance,Acc_StdDev,Gyr_StdDev
2.07,4.53,13.72,0.16,0.1,-0.2,1721207094676,555000.0,14.596033707826248,0.2749545416973504,14.596033707826248,0.2749545416973504,6.773333333333333,0.02,37.70503333333333,0.0372,6.140442437913846,0.192873015219859
0.4,6.67,10.66,0.19,0.07,-0.25,1721207094681,5000.0,12.581116802573607,0.3217141588429082,12.581116802573607,0.3217141588429082,5.91,0.0033333333333333,26.7501,0.0517333333333333,5.172049883750156,0.227449628123093
-0.12,-3.95,6.03,0.11,0.01,-0.33,1721207094691,10000.0,7.209563093558444,0.3479942528261063,7.209563093558444,0.3479942528261063,0.6533333333333333,-0.07,25.348633333333336,0.0532,5.034742628311137,0.2306512518934159
-1.03,-5.83,10.17,-0.02,0.24,-0.23,1721207094701,10000.0,11.76769731085908,0.3330165161069342,11.76769731085908,0.3330165161069342,1.1033333333333333,-0.0033333333333333,67.41333333333333,0.0554333333333333,8.210562303115013,0.2354428451521373
-1.76,2.58,17.95,0.15,0.12,-0.07,1721207094711,10000.0,18.21967343285823,0.2044504830026087,18.21967343285823,0.2044504830026087,6.256666666666667,0.0666666666666666,107.25943333333332,0.0142333333333333,10.35661302421469,0.1193035344544885
-0.93,4.86,11.77,0.24,0.09,-0.06,1721207094721,10000.0,12.767826753210588,0.2632489316217636,12.767826753210588,0.2632489316217636,5.233333333333333,0.0899999999999999,40.42703333333333,0.0225,6.358225643474233,0.15
0.81,-0.82,1.96,0.15,0.11,0.0,1721207094731,10000.0,2.2737853900489378,0.1860107523773827,2.2737853900489378,0.1860107523773827,0.65,0.0866666666666666,1.9513,0.0060333333333333,1.3968894014917572,0.0776745346515402
2.26,-5.24,8.24,-0.05,0.32,-0.16,1721207094741,10000.0,10.023113288794056,0.3612478373637688,10.023113288794056,0.3612478373637688,1.7533333333333332,0.0366666666666666,45.620133333333335,0.0632333333333333,6.754267786617091,0.2514623895005639
0.51,0.96,20.03,0.15,0.07,-0.29,1721207094751,10000.0,20.05947656345997,0.33391615714128,20.05947656345997,0.33391615714128,7.166666666666667,-0.0233333333333333,124.14963333333334,0.0549333333333333,11.142245434980032,0.2343786110832926
-3.19,4.06,6.65,0.37,-0.03,-0.31,1721207094761,10000.0,8.41915672736884,0.4836320915737498,8.41915672736884,0.4836320915737498,2.5066666666666664,0.0099999999999999,26.016033333333333,0.1167999999999999,5.100591468970372,0.3417601498127012
-3.42,3.75,1.1,0.12,0.21,-0.12,1721207094771,10000.0,5.193158961557021,0.2699999999999999,5.193158961557021,0.2699999999999999,0.4766666666666667,0.0699999999999999,13.143633333333332,0.0291,3.62541491878286,0.1705872210923198
-0.97,2.02,12.64,-0.05,0.33,0.07,1721207094781,10000.0,12.837090791920108,0.3410278580995987,12.837090791920108,0.3410278580995987,4.5633333333333335,0.1166666666666666,51.15943333333335,0.0377333333333333,7.1525822842756135,0.1942506971244462
0.99,-1.15,10.34,-0.02,0.06,0.01,1721207094791,10000.0,10.450751169174396,0.0640312423743284,10.450751169174396,0.0640312423743284,3.393333333333333,0.0166666666666666,37.33703333333334,0.0016333333333333,6.110403696429012,0.0404145188432738
1.25,-2.55,7.57,-0.13,0.17,-0.22,1721207094801,10000.0,8.085165428115864,0.3069201850644561,8.085165428115864,0.3069201850644561,2.0900000000000003,-0.06,26.132800000000003,0.0417,5.112025039062309,0.2042057785666213
0.55,-3.65,12.4,-0.22,0.2,-0.31,1721207094811,10000.0,12.937735505102893,0.4295346318982906,12.937735505102893,0.4295346318982906,3.1,-0.1099999999999999,69.2775,0.0741,8.323310639403049,0.272213151776324
-1.48,2.76,13.59,0.08,0.06,-0.22,1721207094821,10000.0,13.94618585850626,0.2416609194718914,13.94618585850626,0.2416609194718914,4.956666666666666,-0.0266666666666666,60.39523333333332,0.0281333333333333,7.771437018552832,0.1677299416721216
-0.42,1.89,6.04,0.05,0.21,-0.16,1721207094831,10000.0,6.342720236617724,0.268700576850888,6.342720236617724,0.268700576850888,2.5033333333333334,0.0333333333333333,10.715033333333334,0.0344333333333333,3.2733825522436777,0.1855622087962237
-1.08,-0.93,12.3,-0.08,0.07,-0.11,1721207094841,10000.0,12.38229784813788,0.1529705854077835,12.38229784813788,0.1529705854077835,3.43,-0.04,59.01330000000001,0.0093,7.6820114553416285,0.0964365076099295
-2.4,0.49,13.4,-0.05,0.06,-0.16,1721207094851,10000.0,13.622044633607688,0.1780449381476485,13.622044633607688,0.1780449381476485,3.83,-0.05,70.7767,0.0121,8.412888921173273,0.11
-2.67,5.28,10.8,0.1,0.06,-0.09,1721207094861,10000.0,12.314515824830467,0.1473091986265623,12.314515824830467,0.1473091986265623,4.47,0.0233333333333333,45.85230000000001,0.0100333333333333,6.771432640143444,0.1001665280087781
0.04,1.09,7.6,-0.14,0.27,0.04,1721207094871,10000.0,7.677870798600352,0.3067572330035594,7.677870798600352,0.3067572330035594,2.91,0.0566666666666666,16.772699999999997,0.0422333333333333,4.09544869336682,0.2055075018906447
0.13,-0.69,14.09,-0.05,0.11,-0.03,1721207094881,10000.0,14.107483829514036,0.1244989959798873,14.107483829514036,0.1244989959798873,4.51,0.01,69.00039999999998,0.0076,8.306647940053796,0.0871779788708134
0.8,2.44,7.3,0.12,-0.0,-0.05,1721207094891,10000.0,7.738449457094102,0.13,7.738449457094102,0.13,3.513333333333333,0.0233333333333333,11.426533333333332,0.0076333333333333,3.380315567122888,0.087368949480541
0.79,0.17,3.56,-0.03,0.1,0.01,1721207094901,10000.0,3.650561600630785,0.1048808848170151,3.650561600630785,0.1048808848170151,1.5066666666666668,0.0266666666666666,3.258233333333333,0.0044333333333333,1.805057709142102,0.0665832811847939
1.02,0.24,14.09,-0.13,0.28,-0.09,1721207094911,10000.0,14.128910078275675,0.3215587038162705,14.128910078275675,0.3215587038162705,5.116666666666666,0.02,60.54263333333332,0.0511,7.7809146848769215,0.2260530911091463
-0.27,1.79,15.07,0.07,-0.03,-0.18,1721207094921,10000.0,15.178336535997612,0.1954482028569206,15.178336535997612,0.1954482028569206,5.53,-0.0466666666666666,69.3196,0.0158333333333333,8.32583929703186,0.1258305739211791
