AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-0.21,0.2,10.82,-0.1,-0.03,0.01,1721396334659
0.43,-2.07,11.46,-0.12,0.1,0.0,1721396334663
-0.73,-1.26,10.53,0.06,0.05,-0.04,1721396334672
-0.42,-1.55,6.06,0.12,0.02,0.08,1721396334682
1.22,1.65,10.47,0.13,0.18,0.02,1721396334691
2.71,2.02,7.61,0.23,0.03,-0.01,1721396334701
0.68,3.18,8.88,0.21,0.03,-0.1,1721396334710
-1.88,5.47,8.69,0.16,-0.02,-0.01,1721396334720
-1.7,3.37,11.16,-0.11,0.15,0.07,1721396334729
-2.0,-1.99,16.71,-0.29,0.04,0.06,1721396334739
-3.57,-6.72,14.99,-0.35,-0.1,0.07,1721396334748
-3.08,1.73,11.27,-0.01,0.05,0.27,1721396334758
1.1,1.56,9.79,0.06,0.16,0.4,1721396334767
2.44,6.62,10.58,0.17,-0.06,0.23,1721396334777
1.87,1.86,2.77,0.12,-0.11,0.07,1721396334787
-0.04,-9.43,13.14,-0.36,0.18,-0.16,1721396334797
-4.73,3.7,11.43,0.1,-0.22,-0.03,1721396334807
-2.37,0.52,7.68,-0.06,0.23,0.29,1721396334817
-1.64,6.51,12.62,0.18,-0.04,0.31,1721396334827
2.93,3.07,7.26,0.03,0.04,0.3,1721396334837
3.17,-6.59,7.51,-0.18,0.08,0.1,1721396334847
0.48,0.6,12.87,-0.11,-0.09,-0.08,1721396334857
-0.43,2.8,12.69,-0.16,0.06,-0.0,1721396334867
-2.97,1.23,11.85,-0.09,-0.02,0.21,1721396334877
-0.97,2.69,12.43,-0.04,0.07,0.19,1721396334887
-0.44,-6.51,3.4,-0.06,-0.28,0.13,1721396334897
0.41,-4.66,12.25,-0.17,0.18,-0.01,1721396334907
0.59,3.44,5.74,0.21,-0.14,0.11,1721396334917
0.66,1.36,2.96,0.04,0.16,0.14,1721396334927
0.23,3.66,11.06,-0.01,-0.01,0.1,1721396334937
0.47,0.52,8.76,-0.25,-0.03,0.1,1721396334947
-0.9,-6.5,22.78,-0.59,0.24,-0.04,1721396334957
-2.87,2.16,13.88,-0.05,-0.34,0.17,1721396334967
0.58,-3.3,6.14,-0.14,0.18,0.45,1721396334977
1.37,-0.63,11.29,0.1,0.02,0.22,1721396334987
1.63,1.32,6.26,0.05,-0.02,-0.12,1721396334997
-0.24,2.64,16.78,-0.19,0.09,-0.16,1721396335007
-1.72,3.43,12.12,-0.06,-0.18,0.07,1721396335017
-0.52,-8.19,6.76,-0.11,0.04,0.28,1721396335027
1.58,-3.54,17.2,-0.21,0.16,0.09,1721396335037
2.82,11.64,9.83,0.14,-0.15,-0.03,1721396335047
1.18,-4.1,6.82,0.03,-0.02,-0.08,1721396335057
-1.27,-2.83,12.11,0.11,0.06,-0.08,1721396335067
-0.69,2.46,7.0,0.17,0.04,0.1,1721396335077
-0.05,1.47,13.77,0.03,0.16,0.17,1721396335087
1.32,6.79,14.93,0.13,-0.01,0.11,1721396335097
1.33,1.85,9.96,0.12,-0.07,-0.02,1721396335107
-0.47,-4.4,9.78,0.07,0.03,-0.11,1721396335117
-1.08,0.68,11.6,0.1,0.1,-0.13,1721396335127
0.39,7.1,6.17,0.32,0.03,0.1,1721396335137
1.78,0.99,9.53,0.11,0.07,0.06,1721396335147
1.5,5.69,9.03,0.17,-0.0,-0.09,1721396335157
1.85,-11.99,7.6,-0.25,0.16,-0.23,1721396335167
-1.57,-0.43,17.79,-0.12,0.12,-0.4,1721396335177
-1.26,-5.68,2.73,0.03,-0.14,-0.1,1721396335187
-1.5,-4.43,12.36,0.07,0.29,-0.1,1721396335197
0.46,8.54,6.18,0.47,-0.13,-0.13,1721396335207
