AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
1.3,3.28,12.23,0.02,-0.05,-0.11,1721396035627,paving_stone
2.22,2.08,5.16,0.05,-0.01,-0.17,1721396035632,paving_stone
0.91,-6.27,6.92,-0.22,0.2,-0.35,1721396035642,paving_stone
-3.28,-1.57,15.73,0.04,-0.11,-0.33,1721396035652,paving_stone
-3.19,2.86,3.88,0.12,0.08,-0.04,1721396035662,paving_stone
-1.32,0.76,15.98,-0.17,0.23,-0.0,1721396035672,paving_stone
1.24,7.37,5.55,0.12,-0.13,0.1,1721396035682,paving_stone
4.23,-7.38,6.45,-0.37,0.39,-0.14,1721396035692,paving_stone
0.5,5.8,12.74,0.06,-0.25,-0.33,1721396035702,paving_stone
-0.55,-0.51,7.07,-0.31,0.14,-0.33,1721396035712,paving_stone
-3.08,3.32,17.65,-0.24,0.1,-0.17,1721396035722,paving_stone
-2.81,-2.82,5.54,-0.18,-0.09,-0.0,1721396035732,paving_stone
-1.55,-5.6,12.09,-0.3,0.33,-0.09,1721396035742,paving_stone
-1.24,0.85,11.74,-0.01,-0.04,-0.22,1721396035752,paving_stone
-1.01,-0.04,8.29,-0.09,0.09,-0.18,1721396035762,paving_stone
-2.02,3.0,12.63,0.0,-0.07,-0.07,1721396035772,paving_stone
-1.97,-5.34,0.64,0.09,0.04,0.07,1721396035782,paving_stone
1.6,-5.81,18.59,-0.32,0.48,-0.26,1721396035792,paving_stone
-1.56,-1.73,13.87,0.13,-0.44,-0.28,1721396035802,paving_stone
-2.13,-6.38,10.98,-0.22,0.39,-0.27,1721396035812,paving_stone
-1.86,10.96,19.52,0.29,-0.13,0.04,1721396035822,paving_stone
-0.96,4.94,4.68,0.04,-0.01,0.16,1721396035832,paving_stone
-0.7,-0.31,15.38,-0.11,0.08,-0.03,1721396035842,paving_stone
-0.03,-0.29,3.73,0.1,-0.07,-0.26,1721396035852,paving_stone
-0.79,-4.75,10.3,-0.08,0.18,-0.29,1721396035862,paving_stone
-3.69,4.97,9.79,0.25,-0.22,-0.16,1721396035872,paving_stone
-1.92,-4.26,5.82,0.07,0.02,0.09,1721396035882,paving_stone
0.22,0.12,15.13,0.11,-0.03,0.1,1721396035892,paving_stone
1.58,0.89,2.94,0.21,-0.13,-0.04,1721396035902,paving_stone
2.02,-4.91,14.53,-0.11,0.23,-0.3,1721396035912,paving_stone
-1.5,10.89,17.33,0.17,-0.15,-0.33,1721396035922,paving_stone
-3.63,12.3,12.09,0.19,0.1,-0.17,1721396035932,paving_stone
-2.57,8.32,11.81,0.14,-0.13,0.18,1721396035942,paving_stone
1.62,-4.81,5.36,-0.03,0.04,0.23,1721396035952,paving_stone
3.44,-9.54,12.3,-0.18,0.11,-0.1,1721396035962,paving_stone
0.54,8.23,10.04,0.39,-0.12,-0.39,1721396035972,paving_stone
-3.14,-2.89,4.96,0.28,-0.09,-0.31,1721396035982,paving_stone
-6.08,7.83,10.78,0.5,-0.09,-0.03,1721396035992,paving_stone
-1.08,1.5,3.52,0.25,-0.11,0.32,1721396036002,paving_stone
1.56,-0.09,11.67,0.01,-0.0,0.21,1721396036012,paving_stone
3.9,-4.99,5.37,0.07,-0.01,-0.12,1721396036022,paving_stone
-2.14,3.07,13.56,0.04,0.11,-0.32,1721396036032,paving_stone
-4.08,10.64,10.85,0.14,-0.17,-0.06,1721396036042,paving_stone
-1.42,0.93,12.06,-0.29,0.09,0.31,1721396036052,paving_stone
1.41,-14.51,9.85,-0.43,-0.15,0.27,1721396036062,paving_stone
1.5,-2.45,15.3,-0.28,0.13,-0.11,1721396036072,paving_stone
-0.39,-5.46,7.82,-0.08,-0.16,-0.06,1721396036082,paving_stone
-3.33,2.11,8.94,0.27,0.08,0.01,1721396036092,paving_stone
-1.05,5.49,1.36,0.36,-0.06,0.23,1721396036102,paving_stone
2.62,8.18,12.2,-0.3,0.27,0.13,1721396036112,paving_stone
2.06,2.77,5.48,-0.14,-0.32,-0.07,1721396036122,paving_stone
1.98,-10.74,8.97,-0.64,0.35,-0.28,1721396036132,paving_stone
-3.27,-3.7,16.24,-0.04,-0.39,0.09,1721396036142,paving_stone
-0.68,4.43,14.87,-0.07,0.25,0.35,1721396036152,paving_stone
2.92,9.07,17.71,-0.09,-0.1,0.27,1721396036162,paving_stone
4.03,7.0,5.8,-0.2,-0.08,0.02,1721396036172,paving_stone
1.87,-7.09,8.67,-0.48,0.1,-0.36,1721396036182,paving_stone
-3.51,0.4,9.88,0.15,-0.14,-0.34,1721396036192,paving_stone
-3.21,-10.67,4.4,-0.05,0.06,-0.05,1721396036202,paving_stone
-4.23,9.0,16.93,0.16,0.06,0.25,1721396036212,paving_stone
1.49,9.42,7.47,0.08,-0.17,0.47,1721396036222,paving_stone
4.34,1.3,8.16,-0.12,0.19,0.13,1721396036232,paving_stone
4.39,-10.75,10.5,-0.31,-0.15,-0.31,1721396036242,paving_stone
-2.4,-7.18,19.99,-0.3,-0.11,-0.55,1721396036252,paving_stone
-4.75,-2.26,15.7,0.13,-0.01,-0.32,1721396036262,paving_stone
-2.44,0.69,8.02,0.27,-0.13,0.27,1721396036272,paving_stone
1.01,2.42,8.3,0.31,0.05,0.38,1721396036282,paving_stone
5.13,11.61,7.44,0.42,0.17,0.15,1721396036292,paving_stone
5.05,2.93,6.83,0.2,0.06,-0.24,1721396036302,paving_stone
0.09,0.62,11.62,-0.04,0.04,-0.47,1721396036312,paving_stone
-3.64,-5.29,10.99,0.03,-0.01,-0.18,1721396036322,paving_stone
-3.67,-5.99,10.37,0.01,0.06,0.08,1721396036332,paving_stone
0.45,5.01,9.49,0.28,0.06,0.37,1721396036342,paving_stone
4.96,-2.8,4.39,0.18,0.15,0.2,1721396036352,paving_stone
3.27,0.03,14.41,0.18,0.02,-0.31,1721396036362,paving_stone
-1.88,4.85,11.25,0.22,-0.08,-0.42,1721396036372,paving_stone
-4.4,5.27,12.84,0.08,0.12,-0.13,1721396036382,paving_stone
-2.62,4.84,9.38,0.18,-0.03,0.27,1721396036392,paving_stone
2.86,5.16,8.72,0.1,0.23,0.23,1721396036402,paving_stone
3.87,-3.5,4.8,-0.11,-0.01,-0.04,1721396036412,paving_stone
1.61,-7.65,8.58,-0.14,0.14,-0.39,1721396036422,paving_stone
-1.28,-9.36,14.44,-0.1,0.05,-0.41,1721396036432,paving_stone
-3.63,4.26,12.07,0.26,-0.1,-0.03,1721396036442,paving_stone
0.45,1.12,9.58,0.06,0.25,0.07,1721396036452,paving_stone
1.68,15.75,12.22,0.37,-0.0,-0.04,1721396036462,paving_stone
3.0,1.41,4.22,-0.13,0.03,-0.04,1721396036472,paving_stone
-0.16,-2.41,13.53,-0.24,0.09,-0.26,1721396036482,paving_stone
-1.25,-4.51,1.0,-0.11,-0.04,-0.28,1721396036492,paving_stone
-1.9,-0.68,12.84,-0.26,0.39,-0.36,1721396036502,paving_stone
-3.95,-4.36,8.3,-0.12,-0.29,-0.11,1721396036512,paving_stone
-3.28,-1.27,16.27,-0.32,0.29,-0.02,1721396036522,paving_stone
0.86,-2.21,14.65,-0.2,-0.05,0.13,1721396036532,paving_stone
1.93,-3.12,5.75,-0.25,0.01,0.03,1721396036542,paving_stone
0.82,-5.48,10.56,-0.16,0.1,-0.39,1721396036552,paving_stone
-2.1,2.65,-0.55,0.42,-0.13,-0.26,1721396036562,paving_stone
-0.09,-3.36,3.73,-0.26,0.41,-0.24,1721396036572,paving_stone
-3.41,13.55,17.12,0.01,-0.15,-0.19,1721396036582,paving_stone
1.72,-9.64,10.53,-0.44,0.04,-0.19,1721396036592,paving_stone
-2.52,-4.76,22.08,-0.49,0.07,-0.2,1721396036602,paving_stone
