AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,Label
0.87,0.79,10.31,0.02,0.14,-0.31,1722170209598,paving_stone
-1.48,-0.97,18.52,0.05,0.11,-0.27,1722170209607,paving_stone
-1.86,1.52,10.28,0.16,0.06,-0.09,1722170209616,paving_stone
-1.31,3.27,1.93,0.08,0.14,-0.06,1722170209625,paving_stone
0.21,-0.65,0.76,-0.34,0.3,-0.09,1722170209634,paving_stone
0.09,-1.9,10.9,-0.34,0.24,-0.16,1722170209643,paving_stone
-0.47,-0.74,21.27,-0.09,0.14,-0.14,1722170209652,paving_stone
0.84,0.85,11.68,0.11,0.09,-0.11,1722170209661,paving_stone
1.06,5.14,7.43,-0.22,0.23,-0.24,1722170209670,paving_stone
0.73,2.38,11.58,-0.26,0.18,-0.35,1722170209679,paving_stone
-1.58,-2.21,13.49,-0.07,0.06,-0.14,1722170209688,paving_stone
-2.95,-2.75,13.74,-0.03,0.04,-0.12,1722170209697,paving_stone
-1.58,-0.32,3.4,-0.07,0.1,-0.17,1722170209706,paving_stone
-0.68,-0.05,11.9,-0.3,0.38,-0.27,1722170209715,paving_stone
1.43,-0.06,10.45,-0.17,0.29,-0.19,1722170209724,paving_stone
0.24,-0.07,8.47,-0.1,0.07,-0.18,1722170209733,paving_stone
-0.41,-0.81,6.65,-0.09,0.02,-0.06,1722170209742,paving_stone
-3.37,0.11,6.55,-0.16,0.18,-0.24,1722170209751,paving_stone
-4.63,-3.24,15.15,-0.29,0.29,-0.22,1722170209760,paving_stone
-2.21,-2.95,8.82,-0.15,0.22,0.03,1722170209769,paving_stone
0.57,-2.26,21.06,-0.27,0.28,0.01,1722170209778,paving_stone
2.65,2.04,7.14,0.08,0.04,-0.16,1722170209787,paving_stone
-0.8,2.69,15.49,-0.08,0.03,-0.37,1722170209796,paving_stone
-0.98,1.74,-2.24,0.11,-0.1,-0.26,1722170209805,paving_stone
-4.26,-3.25,11.43,-0.18,0.17,0.0,1722170209814,paving_stone
-1.85,-3.79,9.03,-0.04,0.2,0.21,1722170209823,paving_stone
-1.51,1.99,17.97,0.16,0.09,0.25,1722170209832,paving_stone
1.27,6.37,5.08,0.09,0.07,0.11,1722170209841,paving_stone
0.86,-0.2,18.37,-0.11,0.25,-0.11,1722170209850,paving_stone
-1.54,3.73,14.48,0.22,0.07,-0.19,1722170209860,paving_stone
-2.77,6.86,11.28,0.08,0.14,-0.04,1722170209869,paving_stone
-0.1,-7.46,3.23,-0.16,0.14,0.28,1722170209878,paving_stone
2.36,-3.37,10.56,0.01,0.11,0.36,1722170209887,paving_stone
4.51,0.85,7.78,-0.1,0.07,0.08,1722170209896,paving_stone
1.63,0.9,13.15,0.02,-0.06,-0.16,1722170209906,paving_stone
-1.1,1.7,14.52,0.04,-0.01,-0.18,1722170209915,paving_stone
-4.38,3.32,11.22,0.09,-0.03,-0.19,1722170209924,paving_stone
-5.6,-1.1,5.27,0.13,-0.1,0.13,1722170209933,paving_stone
-3.73,-1.43,7.33,0.02,0.07,0.49,1722170209942,paving_stone
0.74,-1.41,10.73,0.09,0.15,0.48,1722170209951,paving_stone
3.31,4.01,12.76,0.33,0.01,0.36,1722170209960,paving_stone
3.6,8.08,8.22,0.38,-0.1,-0.06,1722170209969,paving_stone
1.15,3.64,5.57,0.27,-0.13,-0.27,1722170209978,paving_stone
-2.49,1.64,7.47,0.13,-0.04,-0.11,1722170209987,paving_stone
-3.83,3.56,11.94,0.24,-0.08,0.17,1722170209996,paving_stone
-2.23,3.66,8.75,-0.04,0.07,0.24,1722170210005,paving_stone
0.87,-1.62,11.8,-0.01,0.02,0.35,1722170210014,paving_stone
4.12,-3.17,10.3,-0.12,-0.0,0.33,1722170210023,paving_stone
3.34,-2.51,23.5,-0.13,-0.05,-0.1,1722170210032,paving_stone
-0.23,3.62,17.66,0.09,-0.21,-0.37,1722170210041,paving_stone
-1.9,3.04,9.35,0.04,-0.07,-0.25,1722170210050,paving_stone
-4.01,1.59,3.48,0.15,-0.17,0.19,1722170210059,paving_stone
-3.11,-2.84,1.74,-0.12,-0.13,0.38,1722170210068,paving_stone
-1.51,1.11,18.76,0.11,-0.18,0.35,1722170210077,paving_stone
3.12,0.69,4.81,-0.06,0.05,0.17,1722170210086,paving_stone
1.63,0.09,13.8,0.0,-0.02,-0.1,1722170210095,paving_stone
0.5,-3.02,0.77,0.02,-0.14,-0.07,1722170210104,paving_stone
-1.77,-0.28,6.14,-0.04,-0.21,0.19,1722170210113,paving_stone
0.6,2.95,0.67,0.07,-0.07,0.38,1722170210122,paving_stone
2.14,-1.81,10.99,-0.35,0.11,0.09,1722170210131,paving_stone
1.24,-5.92,13.31,-0.01,-0.19,-0.02,1722170210140,paving_stone
-0.18,-1.33,7.4,-0.14,-0.16,0.06,1722170210149,paving_stone
-0.82,-1.54,7.31,-0.35,-0.15,0.08,1722170210158,paving_stone
-1.61,-0.66,19.05,-0.09,-0.15,0.11,1722170210167,paving_stone
-0.98,0.27,17.04,-0.03,-0.01,0.14,1722170210176,paving_stone
0.61,-2.22,11.79,0.15,-0.09,0.3,1722170210185,paving_stone
2.6,1.55,13.65,-0.14,0.21,0.19,1722170210194,paving_stone
4.13,8.65,15.11,-0.16,0.03,-0.03,1722170210203,paving_stone
1.26,5.79,13.96,-0.07,-0.05,-0.17,1722170210212,paving_stone
0.58,-1.9,8.99,-0.04,0.08,-0.04,1722170210221,paving_stone
0.82,-9.26,5.64,0.08,-0.02,0.01,1722170210230,paving_stone
-0.48,-0.81,11.55,0.23,-0.18,0.14,1722170210239,paving_stone
2.18,9.66,15.29,-0.08,0.23,0.01,1722170210248,paving_stone
1.69,11.54,8.91,0.3,-0.27,-0.08,1722170210257,paving_stone
